process_count,arrival_rate,burst_mean,burst_variance,short_job_ratio,priority_mean,priority_variance,io_frequency,io_cpu_ratio,profile,seed,label,score_fcfs,score_sjf,score_round_robin,score_priority,score_priority_rr
12.0,1.0909090909090908,7.833333333333333,7.472222222222222,1.0,3.6666666666666665,1.7222222222222223,2,1.2765957446808511,interactive,420000092,Round Robin,0.1125346021813053,0.1254980079681275,0.10649839774521773,0.26220752797558494,0.8017928286852589
12.0,0.9230769230769231,7.5,13.916666666666666,1.0,3.25,2.0208333333333335,2.25,1.5333333333333334,interactive,420000093,Round Robin,0.09786991352326384,0.12407073509015255,0.08197996281759966,0.33709876543209877,0.8114754098360655
12.0,0.8571428571428571,9.75,20.1875,1.0,2.25,1.6875,2.6666666666666665,1.3076923076923077,interactive,420000094,Round Robin,0.12683701771816525,0.15326151121605663,0.08108502878610459,0.30840204592766063,0.7840909090909092
12.0,0.8571428571428571,7.333333333333333,13.88888888888889,1.0,2.25,2.0208333333333335,2.25,1.4090909090909092,interactive,420000095,SJF,0.14754858935823148,0.030016261496057628,0.08909090909090911,0.3455346395764514,0.8134328358208955
12.0,1.7142857142857142,8.333333333333334,14.555555555555555,1.0,2.4166666666666665,1.4097222222222223,2.75,1.72,interactive,420000096,SJF,0.1306485276736993,0.05404436572199728,0.11518973017828854,0.2743055555555556,0.8416149068322981
12.0,1.2,9.083333333333334,7.409722222222222,1.0,2.75,1.6875,2.5,1.3211009174311927,interactive,420000097,Round Robin,0.12031120912506998,0.10768206842395929,0.08917197452229303,0.2677810553916749,0.7771966527196653
12.0,0.9230769230769231,10.083333333333334,19.57638888888889,1.0,3.25,1.8541666666666667,2.8333333333333335,1.4132231404958677,interactive,420000098,SJF,0.1537819959735404,0.09185598779557591,0.13535418217010642,0.2810769099110928,0.7780701754385965
12.0,1.0909090909090908,9.333333333333334,10.88888888888889,1.0,2.75,1.3541666666666667,2.9166666666666665,1.7321428571428572,interactive,420000099,Round Robin,0.09136868088312629,0.08969996005642118,0.07356354609021282,0.26310223266745003,0.8118932038834952
12.0,0.9230769230769231,8.666666666666666,12.722222222222221,1.0,2.5833333333333335,1.0763888888888888,2,1.1826923076923077,interactive,420000100,Round Robin,0.11088041431261772,0.10954545454545456,0.10219655683882473,0.3012891515511944,0.78625
12.0,0.8,9.25,7.354166666666667,1.0,3.8333333333333335,0.9722222222222222,2.75,1.6306306306306306,interactive,420000101,Round Robin,0.1547106734522385,0.16946777590616594,0.10694776440136951,0.25902691511387166,0.8094713656387665
12.0,1.3333333333333333,8.166666666666666,6.972222222222222,1.0,2.6666666666666665,2.7222222222222223,2.3333333333333335,1.2755102040816326,interactive,420000102,SJF,0.07546296296296295,0.05064534231200895,0.08935185185185184,0.25527497194163856,0.7925925925925925
12.0,1.2,9,11.666666666666666,1.0,3.1666666666666665,1.1388888888888888,2.3333333333333335,1.3148148148148149,interactive,420000103,SJF,0.10417930696702671,0.05222330504556158,0.06901279707495428,0.3014705882352941,0.8025291828793775
